user_id,persona_type,assigned_group,manual_perk,total_spend_manual,num_trips_manual,conversion_rate_manual,RFM_score_manual,browsing_rate_manual,business_rate_manual,cluster,segment_name,ml_perk,total_spend_ml,num_trips_ml,conversion_rate_ml,RFM_score_ml,browsing_rate_ml,business_rate_ml
23557,Solo,High-Intent Browsers & Spenders,no cancellation fees,3670.5,2.0,0.25,4.0,0.75,0.0,3,High-Intent Browsers & Spenders,no cancellation fees,3670.5,2.0,0.25,4.0,0.75,0.0
94883,Solo,High-Intent Browsers & Spenders,no cancellation fees,1858.18,2.0,0.25,1.0,0.75,0.5,3,High-Intent Browsers & Spenders,no cancellation fees,1858.18,2.0,0.25,1.0,0.75,0.5
101486,Family,Baseline Travelers,exclusive discounts,2578.82,2.0,0.25,3.0,0.75,0.0,4,Baseline Travelers,exclusive discounts,2578.82,2.0,0.25,3.0,0.75,0.0
101961,Business,High-Intent Browsers & Spenders,no cancellation fees,4904.386,5.0,0.625,8.0,0.375,0.6,0,VIP High-Frequency Spenders,1 night free hotel plus flight,4904.386,5.0,0.625,8.0,0.375,0.6
106907,Family,Baseline Travelers,exclusive discounts,0.0,0.0,0.25,,0.75,0.0,4,Baseline Travelers,exclusive discounts,0.0,0.0,0.25,,0.75,
118043,Family,VIP High-Frequency Spenders,1 night free hotel plus flight,10295.03,5.0,0.625,9.0,0.375,0.0,0,VIP High-Frequency Spenders,1 night free hotel plus flight,10295.03,5.0,0.625,9.0,0.375,0.0
120851,Family,Group & Family Travelers / Heavy Baggage,free checked bags,2771.36,1.0,0.125,3.0,0.875,0.0,2,Group & Family Travelers / Heavy Baggage,free checked bags,2771.36,1.0,0.125,3.0,0.875,0.0
125845,Solo,High-Intent Browsers & Spenders,no cancellation fees,3982.526,3.0,0.3333333333333333,5.0,0.6666666666666666,0.6666666666666666,3,High-Intent Browsers & Spenders,no cancellation fees,3982.526,3.0,0.3333333333333333,5.0,0.6666666666666666,0.6666666666666666
133058,Solo,Group & Family Travelers / Heavy Baggage,free checked bags,847.02,1.0,0.125,1.0,0.875,0.0,1,Hotel & Business Focused Travelers,free hotel meal,847.02,1.0,0.125,1.0,0.875,0.0
149058,Family,VIP High-Frequency Spenders,1 night free hotel plus flight,9211.265,5.0,0.625,9.0,0.375,0.0,0,VIP High-Frequency Spenders,1 night free hotel plus flight,9211.265,5.0,0.625,9.0,0.375,0.0
152583,Solo,Group & Family Travelers / Heavy Baggage,free checked bags,1161.66,1.0,0.125,1.0,0.875,1.0,3,High-Intent Browsers & Spenders,no cancellation fees,1161.66,1.0,0.125,1.0,0.875,1.0
153982,Family,High-Intent Browsers & Spenders,no cancellation fees,1994.74,3.0,0.375,4.0,0.625,0.3333333333333333,4,Baseline Travelers,exclusive discounts,1994.74,3.0,0.375,4.0,0.625,0.3333333333333333
160754,Family,Group & Family Travelers / Heavy Baggage,free checked bags,615.24,1.0,0.125,1.0,0.875,0.0,1,Hotel & Business Focused Travelers,free hotel meal,615.24,1.0,0.125,1.0,0.875,0.0
164522,Solo,Group & Family Travelers / Heavy Baggage,free checked bags,3652.808,1.0,0.125,4.0,0.875,0.0,2,Group & Family Travelers / Heavy Baggage,free checked bags,3652.808,1.0,0.125,4.0,0.875,0.0
167852,Solo,Group & Family Travelers / Heavy Baggage,free checked bags,0.0,0.0,,,1.0,0.0,1,Hotel & Business Focused Travelers,free hotel meal,0.0,0.0,,,1.0,
171470,Solo,Baseline Travelers,exclusive discounts,0.0,0.0,0.375,,0.625,0.0,4,Baseline Travelers,exclusive discounts,0.0,0.0,0.375,,0.625,
174997,Solo,High-Intent Browsers & Spenders,no cancellation fees,1628.86,2.0,0.375,1.0,0.625,1.0,3,High-Intent Browsers & Spenders,no cancellation fees,1628.86,2.0,0.375,1.0,0.625,1.0
175032,Group,Hotel & Business Focused Travelers,free hotel meal,5462.1,3.0,0.3333333333333333,6.0,0.6666666666666666,0.0,1,Hotel & Business Focused Travelers,free hotel meal,5462.1,3.0,0.3333333333333333,6.0,0.6666666666666666,0.0
181157,Group,Hotel & Business Focused Travelers,free hotel meal,6905.851000000001,3.0,0.375,7.0,0.625,0.6666666666666666,3,High-Intent Browsers & Spenders,no cancellation fees,6905.851000000001,3.0,0.375,7.0,0.625,0.6666666666666666
182191,Family,Group & Family Travelers / Heavy Baggage,free checked bags,0.0,0.0,0.125,,0.875,0.0,1,Hotel & Business Focused Travelers,free hotel meal,0.0,0.0,0.125,,0.875,
187212,Family,High-Intent Browsers & Spenders,no cancellation fees,3389.14,3.0,0.375,5.0,0.625,0.3333333333333333,4,Baseline Travelers,exclusive discounts,3389.14,3.0,0.375,5.0,0.625,0.3333333333333333
189676,Group,Hotel & Business Focused Travelers,free hotel meal,7489.62,2.0,0.25,5.0,0.75,0.0,0,VIP High-Frequency Spenders,1 night free hotel plus flight,7489.62,2.0,0.25,5.0,0.75,0.0
190866,Business,Baseline Travelers,exclusive discounts,5521.0,5.0,0.5555555555555556,8.0,0.4444444444444444,0.2,1,Hotel & Business Focused Travelers,free hotel meal,5521.0,5.0,0.5555555555555556,8.0,0.4444444444444444,0.2
195192,Solo,Group & Family Travelers / Heavy Baggage,free checked bags,1108.58,1.0,0.125,1.0,0.875,0.0,2,Group & Family Travelers / Heavy Baggage,free checked bags,1108.58,1.0,0.125,1.0,0.875,0.0
204943,Group,VIP High-Frequency Spenders,1 night free hotel plus flight,8467.644,5.0,0.875,12.0,0.125,0.0,0,VIP High-Frequency Spenders,1 night free hotel plus flight,8467.644,5.0,0.875,12.0,0.125,0.0
204997,Solo,High-Intent Browsers & Spenders,no cancellation fees,1260.94,2.0,0.625,1.0,0.375,0.5,3,High-Intent Browsers & Spenders,no cancellation fees,1260.94,2.0,0.625,1.0,0.375,0.5
205044,Group,Hotel & Business Focused Travelers,free hotel meal,11083.395,3.0,0.3333333333333333,7.0,0.6666666666666666,0.0,0,VIP High-Frequency Spenders,1 night free hotel plus flight,11083.395,3.0,0.3333333333333333,7.0,0.6666666666666666,0.0
206011,Family,Baseline Travelers,exclusive discounts,3104.544,4.0,0.5,6.0,0.5,0.0,4,Baseline Travelers,exclusive discounts,3104.544,4.0,0.5,6.0,0.5,0.0
216796,Solo,Baseline Travelers,exclusive discounts,0.0,0.0,0.25,,0.75,0.0,4,Baseline Travelers,exclusive discounts,0.0,0.0,0.25,,0.75,
217114,Family,Group & Family Travelers / Heavy Baggage,free checked bags,0.0,0.0,,,1.0,0.0,1,Hotel & Business Focused Travelers,free hotel meal,0.0,0.0,,,1.0,
217136,Family,Baseline Travelers,exclusive discounts,1738.14,2.0,0.25,2.0,0.75,0.0,4,Baseline Travelers,exclusive discounts,1738.14,2.0,0.25,2.0,0.75,0.0
220725,Solo,High-Intent Browsers & Spenders,no cancellation fees,4028.84,3.0,0.5555555555555556,5.0,0.4444444444444444,0.3333333333333333,3,High-Intent Browsers & Spenders,no cancellation fees,4028.84,3.0,0.5555555555555556,5.0,0.4444444444444444,0.3333333333333333
224996,Family,Baseline Travelers,exclusive discounts,1795.22,2.0,0.25,1.0,0.75,0.0,4,Baseline Travelers,exclusive discounts,1795.22,2.0,0.25,1.0,0.75,0.0
226367,Solo,Baseline Travelers,exclusive discounts,3631.202,3.0,0.375,5.0,0.625,0.0,4,Baseline Travelers,exclusive discounts,3631.202,3.0,0.375,5.0,0.625,0.0
228195,Family,Group & Family Travelers / Heavy Baggage,free checked bags,0.0,0.0,,,1.0,0.0,1,Hotel & Business Focused Travelers,free hotel meal,0.0,0.0,,,1.0,
228872,Solo,Hotel & Business Focused Travelers,free hotel meal,2306.42,2.0,0.25,2.0,0.75,0.5,3,High-Intent Browsers & Spenders,no cancellation fees,2306.42,2.0,0.25,2.0,0.75,0.5
229009,Weekender,Baseline Travelers,exclusive discounts,2597.26,2.0,0.5,2.0,0.5,0.0,4,Baseline Travelers,exclusive discounts,2597.26,2.0,0.5,2.0,0.5,0.0
229108,Solo,Baseline Travelers,exclusive discounts,0.0,0.0,0.25,,0.75,0.0,4,Baseline Travelers,exclusive discounts,0.0,0.0,0.25,,0.75,
229330,Weekender,VIP High-Frequency Spenders,1 night free hotel plus flight,6289.219999999999,4.0,0.5,8.0,0.5,0.0,0,VIP High-Frequency Spenders,1 night free hotel plus flight,6289.219999999999,4.0,0.5,8.0,0.5,0.0
232647,Solo,Hotel & Business Focused Travelers,free hotel meal,2817.2,2.0,0.25,3.0,0.75,0.0,2,Group & Family Travelers / Heavy Baggage,free checked bags,2817.2,2.0,0.25,3.0,0.75,0.0
249521,Family,Hotel & Business Focused Travelers,free hotel meal,1653.44,2.0,0.25,1.0,0.75,0.0,2,Group & Family Travelers / Heavy Baggage,free checked bags,1653.44,2.0,0.25,1.0,0.75,0.0
252835,Family,Baseline Travelers,exclusive discounts,4691.27,5.0,0.625,8.0,0.375,0.2,1,Hotel & Business Focused Travelers,free hotel meal,4691.27,5.0,0.625,8.0,0.375,0.2
258451,Solo,Baseline Travelers,exclusive discounts,0.0,0.0,0.25,,0.75,0.0,4,Baseline Travelers,exclusive discounts,0.0,0.0,0.25,,0.75,
264470,Family,High-Intent Browsers & Spenders,no cancellation fees,3797.435,2.0,0.25,4.0,0.75,0.5,3,High-Intent Browsers & Spenders,no cancellation fees,3797.435,2.0,0.25,4.0,0.75,0.5
276512,Family,Group & Family Travelers / Heavy Baggage,free checked bags,891.38,1.0,0.125,1.0,0.875,1.0,3,High-Intent Browsers & Spenders,no cancellation fees,891.38,1.0,0.125,1.0,0.875,1.0
